window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57737249,[0. 0. 0. 2. 2. 0.],[0. 0. 0. 2. 0. 0.],[  0.   0.   0. 104. 104.   0.],[  0.   0.   0. 462.   0.   0.],[0. 0. 0. 2. 2. 0.],[0. 0. 0. 2. 2. 0.],2024-11-20 15:44:30,dns
57738003,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[100. 100.   0.   0.   0.   0.],[182.   0.   0.   0.   0.   0.],[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],2024-11-20 22:01:30,dns
57017621,[0. 4. 2. 2. 4. 0.],[0. 4. 2. 2. 4. 0.],[  0. 170.  63.  85. 170.   0.],[  0. 470. 213. 235. 470.   0.],[0. 2. 1. 1. 2. 0.],[0. 2. 1. 1. 2. 0.],2024-03-15 18:50:30,dns
57017622,[0. 4. 0. 2. 4. 0.],[0. 4. 0. 2. 4. 0.],[  0. 170.   0.  85. 170.   0.],[  0. 470.   0. 235. 470.   0.],[0. 2. 0. 1. 2. 0.],[0. 2. 0. 1. 2. 0.],2024-03-15 18:51:00,dns
57017623,[0. 4. 0. 2. 4. 0.],[0. 4. 0. 2. 4. 0.],[  0. 170.   0.  85. 170.   0.],[  0. 470.   0. 235. 470.   0.],[0. 2. 0. 1. 2. 0.],[0. 2. 0. 1. 2. 0.],2024-03-15 18:51:30,dns
57017624,[0. 4. 0. 2. 4. 0.],[0. 4. 0. 2. 4. 0.],[  0. 170.   0.  85. 170.   0.],[  0. 470.   0. 235. 470.   0.],[0. 2. 0. 1. 2. 0.],[0. 2. 0. 1. 2. 0.],2024-03-15 18:52:00,dns
57017625,[0. 4. 0. 2. 4. 0.],[0. 4. 0. 2. 4. 0.],[  0. 170.   0.  85. 170.   0.],[  0. 470.   0. 235. 470.   0.],[0. 2. 0. 1. 2. 0.],[0. 2. 0. 1. 2. 0.],2024-03-15 18:52:30,dns
57017626,[0. 4. 0. 2. 4. 0.],[0. 4. 0. 2. 4. 0.],[  0. 170.   0.  85. 170.   0.],[  0. 470.   0. 235. 470.   0.],[0. 2. 0. 1. 2. 0.],[0. 2. 0. 1. 2. 0.],2024-03-15 18:53:00,dns
57017627,[0. 4. 0. 2. 2. 0.],[0. 4. 0. 2. 2. 0.],[  0. 170.   0.  85.  85.   0.],[  0. 470.   0. 235. 235.   0.],[0. 2. 0. 1. 1. 0.],[0. 2. 0. 1. 1. 0.],2024-03-15 18:53:30,dns
57017591,[0. 6. 2. 0. 6. 0.],[0. 6. 2. 0. 6. 0.],[  0. 255.  85.   0. 233.   0.],[  0. 705. 235.   0. 683.   0.],[0. 3. 1. 0. 3. 0.],[0. 3. 1. 0. 3. 0.],2024-03-15 18:35:30,dns
