window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57700071,[3350. 3350. 3600. 4600. 2600. 2100.],[3350. 3350. 3600. 4600. 2600. 2100.],[133164. 133164. 143101. 182852. 103351.  83476.],[283914. 283914. 305101. 389852. 220351. 177976.],[7. 6. 6. 8. 5. 5.],[7. 6. 6. 8. 5. 5.],2024-11-07 17:55:30,dns_attack
57700072,[2700. 2950. 2600. 3350. 3100. 1111.],[2700. 2950. 2600. 3350. 3100. 1111.],[107326. 117264. 103351. 133164. 123226.  44161.],[228826. 250014. 220351. 283914. 262726.  94156.],[6. 7. 5. 7. 6. 2.],[6. 7. 5. 7. 6. 2.],2024-11-07 17:56:00,dns_attack
57740275,[3662. 3750. 3750. 3751. 3750. 3750.],[3662. 3750. 3750. 3750. 3751. 3750.],[106198. 108750. 108750. 108779. 108750. 108750.],[1865312. 1910099. 1910454. 1910105. 1910894. 1910317.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 16:57:30,dns_attack
57740276,[3750. 3750. 3750. 3750. 3751. 3750.],[3750. 3750. 3750. 3750. 3750. 3751.],[108750. 108750. 108750. 108750. 108779. 108750.],[1910178. 1910118. 1910305. 1910100. 1910213. 1910576.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 16:58:00,dns_attack
57740277,[3750. 3750. 3750. 3750. 3750. 3750.],[3750. 3750. 3750. 3750. 3750. 3750.],[108750. 108750. 108750. 108750. 108750. 108750.],[1910215. 1909996. 1909891. 1910362. 1910402. 1909895.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 16:58:30,dns_attack
57740278,[3751. 3750. 3750. 3750. 3750. 3750.],[3750. 3751. 3750. 3750. 3750. 3750.],[108779. 108750. 108750. 108750. 108750. 108750.],[1910143. 1910706. 1910316. 1910206. 1909892. 1910193.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 16:59:00,dns_attack
57740279,[3750. 3751. 3750. 3750. 3750. 3750.],[3750. 3750. 3751. 3750. 3750. 3750.],[108750. 108779. 108750. 108750. 108750. 108750.],[1909800. 1910326. 1910739. 1910279. 1909920. 1910164.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 16:59:30,dns_attack
57740280,[3750. 3750. 3751. 3750. 3750. 3750.],[3750. 3750. 3750. 3750. 3751. 3750.],[108750. 108750. 108779. 108750. 108750. 108750.],[1910141. 1910024. 1910215. 1910070. 1910915. 1910303.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 17:00:00,dns_attack
57740281,[3750. 3750. 3750. 3750. 3751. 3750.],[3750. 3750. 3750. 3750. 3750. 3751.],[108750. 108750. 108750. 108750. 108779. 108750.],[1909761. 1910169. 1910026. 1910263. 1910300. 1910762.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 17:00:30,dns_attack
57740282,[3750. 3750. 3750. 3750. 3750. 3751.],[3750. 3750. 3750. 3750. 3750. 3750.],[108750. 108750. 108750. 108750. 108750. 108779.],[1910547. 1910512. 1909920. 1910033. 1910313. 1910319.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],2024-11-21 17:01:00,dns_attack
